,symbol,datetime,enabled,fail_count
589,MARUTI24JUN11700CE,2024-06-13 09:20:00,True,1
590,MARUTI24JUN12600PE,2024-06-13 13:15:00,True,0
591,MARUTI24JUN12800PE,2024-06-13 13:15:00,True,0
592,MARUTI24JUN12900PE,2024-06-13 13:15:00,True,0
593,NIFTY2461322950PE,2024-06-13 13:15:00,True,0
594,NIFTY2461323300CE,2024-06-13 13:15:00,True,0
595,OFSS24JUN7900CE,2024-06-07 15:15:00,True,0
596,OFSS24JUN8400PE,2024-06-13 13:15:00,True,0
597,PIDILITIND24JUN2920CE,2024-06-06 15:15:00,True,0
598,PIDILITIND24JUN3220CE,2024-06-13 13:15:00,True,0
599,PIDILITIND24JUN3260CE,2024-06-13 13:15:00,True,0
600,PIIND24JUN3500PE,2024-06-13 13:15:00,True,0
601,PIIND24JUN3750CE,2024-06-13 13:15:00,True,0
602,RELIANCE24JUN2700PE,2024-06-13 13:15:00,True,0
603,RELIANCE24JUN2820CE,2024-06-13 13:15:00,True,0
604,RELIANCE24JUN2840PE,2024-06-13 13:15:00,True,0
605,RELIANCE24JUN2880PE,2024-06-13 13:15:00,True,0
606,RELIANCE24JUN3040CE,2024-06-13 13:15:00,True,0
607,RELIANCE24JUN3060CE,2024-06-13 13:15:00,True,0
608,RELIANCE24JUN3060PE,2024-06-13 13:15:00,True,0
609,RELIANCE24JUN3080PE,2024-06-13 13:15:00,True,0
610,RELIANCE24JUN3100PE,2024-06-13 13:15:00,True,0
611,SHREECEM24JUN23750PE,2024-06-03 15:15:00,True,0
612,SIEMENS24JUN6350PE,2024-06-13 09:20:00,True,1
613,SIEMENS24JUN6400PE,2024-06-13 13:15:00,True,0
614,SIEMENS24JUN6500CE,2024-06-13 13:15:00,True,0
615,TCS24JUN3600PE,2024-06-13 13:15:00,True,0
616,TCS24JUN3950CE,2024-06-13 13:15:00,True,0
617,TRENT24JUN4550CE,2024-06-13 09:20:00,True,1
618,TRENT24JUN5050PE,2024-06-13 13:15:00,True,0
619,ULTRACEMCO24JUN10000PE,2024-06-13 13:15:00,True,0
620,ULTRACEMCO24JUN10400PE,2024-06-13 13:15:00,True,0
621,ULTRACEMCO24JUN11400PE,2024-06-13 13:15:00,True,0
622,ULTRACEMCO24JUN9400PE,2024-06-13 13:15:00,True,0
623,ULTRACEMCO24JUN9900PE,2024-06-13 13:15:00,True,0
624,ABB24JUN7200PE,2024-06-13 13:15:00,True,0
625,ASIANPAINT24JUN3040CE,2024-06-13 13:15:00,True,0
626,BAJFINANCE24JUN6800PE,2024-06-13 13:15:00,True,0
627,BAJFINANCE24JUN7250CE,2024-06-13 13:15:00,True,0
628,BOSCHLTD24JUN29000PE,2024-06-13 13:15:00,True,0
629,FINNIFTY2461821950PE,2024-06-13 13:15:00,True,0
630,HEROMOTOCO24JUN4700PE,2024-06-13 13:15:00,True,0
631,HEROMOTOCO24JUN4800CE,2024-06-13 09:20:00,True,1
632,INFY24JUN1400PE,2024-06-13 13:15:00,True,0
633,INFY24JUN1420CE,2024-06-13 13:15:00,True,0
634,INFY24JUN1480PE,2024-06-13 13:15:00,True,0
635,INFY24JUN1600PE,2024-06-13 13:15:00,True,0
636,LTIM24JUN5000PE,2024-06-13 13:15:00,True,0
637,MARUTI24JUN11800PE,2024-06-13 13:15:00,True,0
638,MARUTI24JUN12000PE,2024-06-13 13:15:00,True,0
639,MARUTI24JUN12300PE,2024-06-13 13:15:00,True,0
640,MARUTI24JUN12400PE,2024-06-13 13:15:00,True,0
641,NIFTY2461322750CE,2024-06-13 13:15:00,True,0
642,NIFTY2461323150CE,2024-06-13 13:15:00,True,0
643,NIFTY2461323200CE,2024-06-13 13:15:00,True,0
644,NIFTY2461323250PE,2024-06-13 13:15:00,True,0
645,OFSS24JUN8200CE,2024-06-13 09:20:00,True,1
646,PIDILITIND24JUN2960PE,2024-06-13 13:15:00,True,0
647,PIDILITIND24JUN3060CE,2024-06-13 13:15:00,True,0
648,PIDILITIND24JUN3080CE,2024-06-13 13:15:00,True,0
649,PIDILITIND24JUN3080PE,2024-06-13 13:15:00,True,0
650,PIDILITIND24JUN3140PE,2024-06-13 09:20:00,True,1
651,SHREECEM24JUN24000CE,2024-06-05 15:15:00,True,0
652,SHREECEM24JUN27500PE,2024-06-13 13:15:00,True,0
653,SHREECEM24JUN27750PE,2024-06-13 13:15:00,True,0
654,SIEMENS24JUN6300PE,2024-06-13 13:15:00,True,0
655,TRENT24JUN4500PE,2024-06-13 13:15:00,True,0
656,TRENT24JUN4700PE,2024-06-13 13:15:00,True,0
657,TRENT24JUN4850PE,2024-06-13 13:15:00,True,0
658,TRENT24JUN4950CE,2024-06-13 13:15:00,True,0
659,ULTRACEMCO24JUN10000CE,2024-06-13 13:15:00,True,0
660,ULTRACEMCO24JUN10700CE,2024-06-13 13:15:00,True,0
661,ULTRACEMCO24JUN10900PE,2024-06-13 13:15:00,True,0
662,ULTRACEMCO24JUN11000PE,2024-06-13 13:15:00,True,0
663,ABB24JUN7050PE,2024-05-02 09:15:00,True,0
664,ASIANPAINT24JUN2760CE,2024-06-13 09:20:00,True,1
665,ASIANPAINT24JUN3020CE,2024-06-13 13:15:00,True,0
666,BAJFINANCE24JUN6850CE,2024-06-13 13:15:00,True,0
667,BANKNIFTY2461248900CE,2024-06-12 15:15:00,True,0
668,BOSCHLTD24JUN29000CE,2024-06-13 13:15:00,True,0
669,BOSCHLTD24JUN29750PE,2024-06-13 09:20:00,True,1
670,BOSCHLTD24JUN30750CE,2024-06-13 13:15:00,True,0
671,BOSCHLTD24JUN31250CE,2024-06-13 13:15:00,True,0
672,BOSCHLTD24JUN31750CE,2024-06-13 13:15:00,True,0
673,EICHERMOT24JUN4550CE,2024-06-13 09:20:00,True,1
674,EICHERMOT24JUN4700PE,2024-06-13 13:15:00,True,0
675,FINNIFTY2461822350CE,2024-06-13 13:15:00,True,0
676,FINNIFTY2461822350PE,2024-06-13 13:15:00,True,0
677,HEROMOTOCO24JUN4850CE,2024-05-31 15:15:00,True,0
678,HEROMOTOCO24JUN5100CE,2024-06-13 13:15:00,True,0
679,INFY24JUN1360PE,2024-06-13 13:15:00,True,0
680,INFY24JUN1420PE,2024-06-13 13:15:00,True,0
681,LTIM24JUN4400PE,2024-06-13 13:15:00,True,0
682,MARUTI24JUN11800CE,2024-06-13 13:15:00,True,0
683,MARUTI24JUN12600CE,2024-06-13 13:15:00,True,0
684,MARUTI24JUN13000CE,2024-06-13 13:15:00,True,0
685,MIDCPNIFTY24JUN12100PE,2024-05-27 09:15:00,True,0
686,MIDCPNIFTY24JUN12200CE,2024-06-13 13:15:00,True,0
687,NIFTY2461323250CE,2024-06-13 13:15:00,True,0
688,NIFTY2461323450PE,2024-06-13 13:15:00,True,0
689,OFSS24JUN7400PE,2024-06-13 13:15:00,True,0
690,PIDILITIND24JUN3100CE,2024-06-13 13:15:00,True,0
691,PIDILITIND24JUN3160CE,2024-06-13 13:15:00,True,0
692,PIDILITIND24JUN3180PE,2024-06-13 09:20:00,True,1
693,PIIND24JUN3650PE,2024-06-13 13:15:00,True,0
694,PIIND24JUN3850CE,2024-06-13 09:20:00,True,1
695,RELIANCE24JUN2720CE,2024-06-13 13:15:00,True,0
696,RELIANCE24JUN2760CE,2024-06-13 13:15:00,True,0
697,RELIANCE24JUN2940CE,2024-06-13 13:15:00,True,0
698,RELIANCE24JUN2960CE,2024-06-13 13:15:00,True,0
699,SHREECEM24JUN23500PE,2024-06-13 09:20:00,True,1
700,SHREECEM24JUN26000CE,2024-06-13 13:15:00,True,0
701,TCS24JUN3600CE,2024-06-13 13:15:00,True,0
702,TRENT24JUN5200CE,2024-06-13 13:15:00,True,0
703,ULTRACEMCO24JUN11200CE,2024-06-13 13:15:00,True,0
