,0
155,44.92958573927419
156,54.593369845431894
157,55.717602937072925
158,53.435835889936286
159,48.941725349314126
160,47.9344819733342
161,39.445605142080844
162,36.390953408455196
163,40.18175383315639
164,53.47079037800688
165,60.87972508591069
166,61.84061528391427
167,61.330782967717084
168,56.51582577743221
169,41.87175798082203
170,29.93955459099149
171,26.12142168811286
172,29.152542372881356
173,29.62711864406783
174,33.85451977401133
175,46.31450094161961
176,46.26618611598152
177,50.83934021689714
178,59.042145593869655
179,54.803639846743216
180,42.471264367816005
181,35.62220538082604
182,28.61654330700036
183,22.177453126931827
184,26.89605048787082
185,32.38352345329088
186,42.45243128964053
187,49.17547568710353
188,57.970401691331844
189,59.91543340380542
190,59.36497823085902
191,59.47058993889192
192,58.786430729724756
193,52.09978086053267
194,46.392694063926896
195,42.785388127853786
196,35.17324738114415
197,33.68360809785868
198,32.68112374649645
199,45.287799860494275
200,58.61655390008557
201,65.91808769411894
202,61.17923330337161
203,55.64157033231235
204,48.080229226360984
205,41.6045845272206
206,45.214899713467005
207,52.66475644699136
208,58.624641833810834
209,54.51829304583676
210,47.36262147891814
211,37.189653416859336
212,27.492959028712
213,20.389737280162112
214,14.850984156385545
215,12.766156778500335
216,12.042774275214223
217,16.323481154139323
218,21.030944276674784
219,29.774885871820743
220,38.96389399418985
221,46.71012305505546
222,52.05724896671988
223,57.68842140445311
224,59.78325864148077
225,59.906448926610985
226,62.98150686920324
227,67.80399247342332
228,72.3958578310671
229,73.8637405023939
230,78.42531179686992
231,74.8477581468944
232,61.33996495020746
233,46.63019022145741
234,46.920568292584186
235,43.12174372296853
236,44.82178797265093
237,62.17194570135755
238,78.02281368821296
239,64.1043992911584
240,56.671197288508836
241,55.589353612167216
242,39.77186311787059
243,27.604562737642453
244,31.78707224334583
245,29.429657794676608
246,18.22018210926542
247,18.577146287772585
248,15.747948769261503
249,11.185211126675998
250,13.926950998185154
251,19.462341197822173
252,22.27446568712762
253,27.396298045802087
254,34.86068551018957
255,40.43478414463305
256,52.13974794387228
257,56.38957325790079
258,59.44142510975264
259,51.97703764536516
260,45.00354381323256
261,32.80142348754451
262,32.19476439790575
263,31.937172774869072
264,48.48167539267011
265,60.68062827225121
266,70.6282722513088
267,74.3455497382198
268,79.63350785340306
269,81.8768840234808
270,76.04268452965344
271,70.20261188808934
272,63.23964749404748
273,56.042491334004254
274,46.75647128218493
275,44.53568652453656
276,45.93007741527224
277,49.524804462019134
278,52.31706162768963
279,53.94610226829981
280,52.99855496862938
281,51.432851732535184
282,46.45616000572085
283,40.05237925493497
284,35.430355617910294
285,37.88373756714811
286,41.05901652022003
287,52.86012800857797
288,59.62712050687303
289,63.91069759741676
290,63.99351430662896
291,67.43166253755896
292,61.828050564537264
293,64.2715780786976
294,72.36447556698025
295,81.44829599768941
296,84.88609318791103
297,79.4904306335568
298,72.47838800072543
299,64.84139510669561
300,53.714457492562204
301,42.45673999733084
302,40.915495853346975
303,35.315533746937035
304,26.20899976677915
305,21.720366785489794
306,19.601597951815005
307,21.296613018754808
308,24.515195369030337
309,28.972503617944948
310,28.452357841233937
311,29.077907250654825
312,28.015133505611477
313,26.381287406738842
314,21.18120181846907
315,20.79618915686708
316,16.321633876884178
317,15.597186325597383
318,23.087314239311358
319,32.590795210195154
320,43.39350180505417
321,51.68717067984534
322,56.95217954074225
323,59.03718998377584
324,61.61351693252018
325,56.15452096618826
326,57.85751994934772
327,62.1228011638197
328,61.54140874599354
329,62.40465998459481
330,65.9029116295387
331,65.7181743199807
332,57.84079064339794
333,46.403056300945465
334,34.171768979740094
335,28.388677586623224
336,17.656076854022526
337,11.035046943445938
338,22.8389211959751
339,26.506997726384405
340,28.07645976746802
341,33.63270251969069
342,39.296482412060314
343,33.115577889447266
344,35.33668341708547
345,32.531962136262756
346,27.3682857218119
347,34.98519968139812
348,34.80152914941065
349,36.11659764256131
350,40.47322540473225
351,47.57160647571605
352,38.51226913160157
353,34.831354252538915
354,29.664813288197458
355,23.497447950467468
356,17.48868733961492
357,14.413438091316133
358,11.494103904376306
359,7.58548913456381
360,5.894795196736976
361,3.3356853219108147
362,7.726368842510058
363,14.19016737346494
364,16.753205088651562
365,20.098995583014666
366,28.146177758637208
367,27.062363873517352
368,28.251211204163553
369,34.048549330268806
370,40.07547712321929
371,39.08331112882652
372,46.47234001039273
373,51.39965150486838
374,53.25941133072992
375,49.041933892913484
376,45.4954674266932
377,37.531937568520036
378,29.195172106046833
379,23.244306707129123
380,18.847371754274846
381,19.01203293223558
382,34.56618112729575
383,43.507462815413604
384,51.44018553918728
385,61.89208665566008
386,70.8113721926522
387,63.40386862261456
388,62.81189147085551
389,62.96248214981175
390,62.84823512665141
391,62.71609810472288
392,62.58396108279436
393,62.45182406086583
394,62.27229600719899
395,50.30933344340626
396,38.3642608783817
397,27.372432938879363
398,20.5120735308456
399,8.099105154550093
400,7.583818311540819
401,7.0685314685315435
402,5.60000000000006
403,5.707070707070697
404,11.414141414141394
405,17.12121212121209
406,22.828282828282788
407,28.535353535353487
408,22.828282828282788
409,19.526710402999036
410,13.81963969592834
411,8.112568988857642
412,2.4054982817869446
413,2.4054982817869446
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,20.0
443,40.0
444,60.0
445,80.0
446,100.0
447,100.0
448,100.0
449,100.0
450,100.0
451,100.0
452,100.0
453,100.0
454,100.0
455,100.0
456,80.0
457,60.0
458,40.0
459,20.0
460,0.0
461,0.0
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0
471,0.0
472,0.0
473,0.0
474,0.0
475,19.999999999999996
476,39.99999999999999
477,59.999999999999986
478,79.99999999999999
479,99.99999999999999
480,99.99999999999999
481,99.99999999999999
482,99.99999999999999
483,99.99999999999999
484,99.99999999999999
485,99.99999999999999
486,99.99999999999999
487,99.99999999999999
488,99.99999999999999
489,79.99999999999999
490,60.0
491,40.0
492,20.0
493,0.0
494,0.0
495,0.0
496,0.0
497,20.0
498,40.0
499,60.0
