datetime,open,high,low,close,ha_open,ha_high,ha_low,ha_close
"2024-08-22 11:32:00",315.25,315.25,311.6,312.55,315.7352137170493,315.7352137170493,311.6,313.6625
"2024-08-22 11:33:00",312.55,312.9,311.15,311.35,314.69885685852466,314.69885685852466,311.15,311.9875
"2024-08-22 11:34:00",311.35,312.5,311.35,312.5,313.34317842926237,313.34317842926237,311.35,311.925
"2024-08-22 11:35:00",312.35,314.55,312.35,313.05,312.6340892146312,314.55,312.35,313.07500000000005
"2024-08-22 11:36:00",313.05,313.05,313.05,313.05,312.85454460731563,313.05,312.85454460731563,313.05
"2024-08-22 11:37:00",317.45,317.85,314.45,314.95,312.9522723036578,317.85,312.9522723036578,316.175
"2024-08-22 11:38:00",314.95,314.95,314.95,314.95,314.5636361518289,314.95,314.5636361518289,314.95
"2024-08-22 11:39:00",317.25,324.1,317.25,322.05,314.75681807591445,324.1,314.75681807591445,320.1625
"2024-08-22 11:40:00",322.05,323,319.85,319.95,317.45965903795724,323,317.45965903795724,321.2125
"2024-08-22 11:41:00",332.75,339.4,330.2,336.4,319.33607951897864,339.4,319.33607951897864,334.6875
"2024-08-22 11:42:00",336.4,338.9,335.4,335.4,327.0117897594893,338.9,327.0117897594893,336.525
"2024-08-22 11:43:00",335.45,336.9,332.65,334.25,331.7683948797446,336.9,331.7683948797446,334.8125
"2024-08-22 11:44:00",334.25,335.85,334.25,335.85,333.2904474398723,335.85,333.2904474398723,335.05
"2024-08-22 11:45:00",335.1,337,331,333.6,334.1702237199362,337,331,334.175
"2024-08-22 11:46:00",334.15,335.95,331.1,333.1,334.17261185996813,335.95,331.1,333.575
"2024-08-22 11:47:00",333,335.8,331,331.15,333.8738059299841,335.8,331,332.73749999999995
"2024-08-22 11:48:00",330.2,330.45,328.35,330.05,333.305652964992,333.305652964992,328.35,329.7625
"2024-08-22 11:49:00",332.05,332.95,328.8,329.55,331.534076482496,332.95,328.8,330.8375
"2024-08-22 11:50:00",329.55,329.55,328.85,328.85,331.185788241248,331.185788241248,328.85,329.20000000000005
"2024-08-22 11:51:00",333.25,336,331.65,333.25,330.19289412062403,336,330.19289412062403,333.5375
"2024-08-22 11:52:00",333.25,333.25,333.25,333.25,331.865197060312,333.25,331.865197060312,333.25
"2024-08-22 11:53:00",331.8,332.65,330,330.2,332.55759853015604,332.65,330,331.1625
"2024-08-22 11:54:00",330.2,330.85,329.55,330.25,331.86004926507803,331.86004926507803,329.55,330.2125
"2024-08-22 11:55:00",325.95,327.55,324.35,325.8,331.036274632539,331.036274632539,324.35,325.9125
"2024-08-22 11:56:00",325.8,325.8,325.8,325.8,328.4743873162695,328.4743873162695,325.8,325.8
"2024-08-22 11:57:00",328.65,330.05,325.05,326.85,327.1371936581347,330.05,325.05,327.65
"2024-08-22 11:58:00",326.85,326.85,326.85,326.85,327.39359682906735,327.39359682906735,326.85,326.85
"2024-08-22 11:59:00",326.1,329.55,325.15,329,327.1217984145337,329.55,325.15,327.45000000000005
"2024-08-22 12:00:00",329,329,328.4,328.4,327.2858992072669,329,327.2858992072669,328.7
"2024-08-22 12:01:00",323.9,326.55,322.35,326.55,327.9929496036334,327.9929496036334,322.35,324.83750000000003
"2024-08-22 12:02:00",326.55,329,326.55,327.25,326.41522480181675,329,326.41522480181675,327.3375
"2024-08-22 12:03:00",327.25,327.4,324.8,325.2,326.87636240090836,327.4,324.8,326.1625
"2024-08-22 12:04:00",325.2,325.4,325.2,325.4,326.51943120045416,326.51943120045416,325.2,325.29999999999995
"2024-08-22 12:05:00",324.45,327.45,324,326.45,325.90971560022706,327.45,324,325.5875
"2024-08-22 12:06:00",326.45,326.55,326.45,326.55,325.7486078001135,326.55,325.7486078001135,326.5
"2024-08-22 12:07:00",327.05,327.7,325.4,325.65,326.12430390005676,327.7,325.4,326.45
"2024-08-22 12:08:00",325.65,325.65,325.65,325.65,326.2871519500284,326.2871519500284,325.65,325.65
"2024-08-22 12:09:00",328.7,329.85,327.5,327.5,325.9685759750142,329.85,325.9685759750142,328.3875
"2024-08-22 12:10:00",327.5,327.5,327.5,327.5,327.1780379875071,327.5,327.1780379875071,327.5
"2024-08-22 12:11:00",322.1,323.6,319.3,322,327.33901899375354,327.33901899375354,319.3,321.75
"2024-08-22 12:12:00",322,322.3,321.75,322.3,324.5445094968768,324.5445094968768,321.75,322.0875
"2024-08-22 12:13:00",319.4,321.45,318.9,319.2,323.3160047484384,323.3160047484384,318.9,319.73749999999995
"2024-08-22 12:14:00",319.2,320.05,319.1,319.1,321.5267523742192,321.5267523742192,319.1,319.3625
"2024-08-22 12:15:00",322.85,323.5,321.15,323.5,320.44462618710963,323.5,320.44462618710963,322.75
"2024-08-22 12:16:00",323.5,323.5,321.15,322,321.5973130935548,323.5,321.15,322.5375
"2024-08-22 12:17:00",322,324.7,320.7,324.7,322.0674065467774,324.7,320.7,323.02500000000003
"2024-08-22 12:18:00",324.7,324.7,323.95,323.95,322.54620327338876,324.7,322.54620327338876,324.325
